series,medium,date,side,well,level,tile_ft,src
1190,Fractured Clay,2015-03-02,in,1190B,562.95,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-03-02,out,1194B,568.98,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-03-02,out,1193B,568.38,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-03-02,out,1192B,568.17,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-03-02,out,1191B,565.15,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-06-01,in,1190B,562.92,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-06-01,out,1194B,569.25,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-06-01,out,1193B,568.29,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-06-01,out,1192B,568.02,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-06-01,out,1191B,565.2,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-09-02,in,1190B,562.27,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-09-02,out,1194B,568.41,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-09-02,out,1193B,568.65,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-09-02,out,1192B,568.37,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-09-02,out,1191B,565.54,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-12-01,in,1190B,564.48,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-12-01,out,1194B,568.67,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-12-01,out,1193B,568.5,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-12-01,out,1192B,568.32,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2015-12-01,out,1191B,565.35,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-03-02,out,1194D,574.04,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-03-02,out,1193D,570.77,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-03-02,out,1192C,569.22,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-06-08,out,1194D,572.47,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-06-08,out,1193D,571.54,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-06-08,out,1192C,569.73,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-09-06,out,1194D,569.48,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-09-06,out,1193D,570.9,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-09-06,out,1192C,569.84,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-12-05,out,1194D,568.85,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-12-05,out,1193D,570.13,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2016-12-05,out,1192C,569.5,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-03-02,out,1194D,573.53,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-03-02,out,1193D,570.47,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-03-02,out,1192C,569.07,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-06-09,out,1194D,573.55,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-06-09,out,1193D,572.17,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-06-09,out,1192C,569.89,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-09-07,out,1194D,572.5,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-09-07,out,1193D,571.47,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-09-07,out,1192C,570.3,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-12-07,out,1194D,573.79,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-12-07,out,1193D,571.29,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2017-12-07,out,1192C,569.98,554.8,LoveCanal_932020_2017_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-03-05,out,1194D,573.65,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-03-05,out,1193D,571.8,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-03-05,out,1192C,569.91,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-06-04,out,1194D,574.16,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-06-04,out,1193D,572.46,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-06-04,out,1192C,570.1,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-09-03,out,1194D,570.26,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-09-03,out,1193D,571.33,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-09-03,out,1192C,570.28,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-11-19,out,1194D,572.66,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-11-19,out,1193D,570.81,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2019-11-19,out,1192C,569.9,554.8,LoveCanal_932020_2019_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-03-03,out,1194D,574.31,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-03-03,out,1193D,571.77,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-03-03,out,1192C,569.83,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-06-01,out,1194D,573.18,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-06-01,out,1193D,572.1,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-06-01,out,1192C,570.22,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-09-15,out,1194D,569.49,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-09-15,out,1193D,570.9,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-09-15,out,1192C,570.0,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-12-02,out,1194D,573.08,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-12-02,out,1193D,570.75,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Fractured Clay,2022-12-02,out,1192C,569.62,554.8,LoveCanal_932020_2022_Periodic_Review_Report.pdf
1190,Glacial Till,2015-03-02,out,1194D,571.91,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2015-03-02,out,1193D,570.51,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2015-06-01,out,1194D,572.48,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2015-06-01,out,1193D,571.41,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2015-09-02,out,1194D,570.6,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2015-09-02,out,1193D,571.09,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2015-12-01,out,1194D,571.64,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2015-12-01,out,1193D,570.62,554.8,LoveCanal_932020_2015_Periodic_Review_Report.pdf
1190,Glacial Till,2016-03-02,in,1190A,568.27,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-03-02,out,1194A,564.57,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-03-02,out,1193A,565.67,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-03-02,out,1192A,564.61,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-03-02,out,1191A,565.1,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-06-08,in,1190A,563.26,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-06-08,out,1194A,564.29,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-06-08,out,1193A,565.51,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-06-08,out,1192A,564.32,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-06-08,out,1191A,565.17,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-09-06,in,1190A,562.18,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-09-06,out,1194A,563.39,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-09-06,out,1193A,564.9,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
1190,Glacial Till,2016-09-06,out,1192A,563.49,554.8,LoveCanal_932020_2016_Periodic_Review_Report.pdf
