year,precip_in,avg_gpm,peak_gpm,n_detects,n_wells_sampled
2015,24.99,5.3,22.9,8,14
2016,23.33,5.5,22.7,2,11
2017,41.36,11.0,30.1,2,14
2019,35.81,8.4,20.9,6,14
